Farm,Type,Round,Date,Species,Load,Netted on,Plant pollen,Status,Proportion,Weight
Farm10,HLS,Two,8/6/2015,Halictus tumulorum,0.5,Leucanthemum vulgare,Rubus fruticosus agg.,Wild,2,1
Farm10,HLS,Two,8/6/2015,Halictus tumulorum,0.5,Leucanthemum vulgare,Silene dioica,Sown,30,15
Farm10,HLS,Two,8/6/2015,Lasioglossum albipes,0.5,Ranunculus acris,Ranunculus acris,Sown,96,48
Farm10,HLS,Two,8/6/2015,Lasioglossum albipes,0.5,Ranunculus acris,Silene dioica,Sown,2,1
Farm10,HLS,Two,8/6/2015,Lasioglossum albipes,0.5,Ranunculus acris,Veronica persica,Wild,2,1
Farm10,HLS,Two,8/6/2015,Lasioglossum calceatum,0.5,Leucanthemum vulgare,Heracleum sphondylium,Wild,5,2.5
Farm10,HLS,Two,8/6/2015,Lasioglossum calceatum,0.5,Leucanthemum vulgare,Leucanthemum vulgare,Sown,75,37.5
Farm10,HLS,Two,8/6/2015,Lasioglossum calceatum,0.5,Leucanthemum vulgare,Ranunculus repens,Wild,20,10
Farm10,HLS,Two,8/6/2015,Lasioglossum leucopus,0.5,Chaerophyllum temulum,Chaerophyllum temulum,Wild,2,1
Farm10,HLS,Two,8/6/2015,Lasioglossum leucopus,0.5,Chaerophyllum temulum,Sisymbrium officinale,Wild,98,49
Farm10,HLS,Two,8/6/2015,Lasioglossum pauxillum,0.0625,Aegopodium podagraria,Aegopodium podagraria,Wild,100,6.25
Farm10,HLS,Two,8/6/2015,Lasioglossum pauxillum,0.125,Leucanthemum vulgare,Leucanthemum vulgare,Sown,100,12.5
Farm10,HLS,Two,8/6/2015,Lasioglossum xanthopus,0.75,Leucanthemum vulgare,Brassica-type,Crop,95,71.25
Farm10,HLS,Two,8/6/2015,Lasioglossum xanthopus,0.75,Leucanthemum vulgare,Brassica-type,Crop,100,75
Farm10,HLS,Two,8/6/2015,Lasioglossum xanthopus,0.25,Leucanthemum vulgare,Cornus sanguinea,Wild,2,0.5
Farm10,HLS,Two,8/6/2015,Lasioglossum xanthopus,0.75,Leucanthemum vulgare,Leucanthemum vulgare,Sown,5,3.75
Farm10,HLS,Two,8/6/2015,Lasioglossum xanthopus,0.25,Leucanthemum vulgare,Leucanthemum vulgare,Sown,94,23.5
