Farm,Type,Round,Date,Species,Number,Caste,Visiting,Status,Purpose,Family
Farm10,HLS,Four,7/8/2014,Megachile versicolor,1,Female,Lotus corniculatus,Sown,Pollen,Fabaceae
Farm10,HLS,Three,29/06/2014,Andrena cineraria,1,Female,Heracleum sphondylium,Wild,Nectar,Apiaceae
Farm10,HLS,Three,29/06/2014,Andrena minutula,1,Male,Heracleum sphondylium,Wild,Nectar,Apiaceae
Farm10,HLS,Three,29/06/2014,Andrena nitida,1,Female,Heracleum sphondylium,Wild,Pollen,Apiaceae
Farm10,HLS,Three,29/06/2014,Andrena semilaevis,1,Female,Heracleum sphondylium,Wild,Pollen,Apiaceae
Farm10,HLS,Three,29/06/2014,Andrena semilaevis,1,Female,Heracleum sphondylium,Wild,Pollen,Apiaceae
Farm10,HLS,Three,29/06/2014,Anthidium manicatum,1,Male,Stachys sylvatica,Wild,Nectar,Lamiaceae
Farm10,HLS,Three,29/06/2014,Halictus tumulorum,1,Female,Reseda lutea,Wild,Pollen,Resedaceae
Farm10,HLS,Three,29/06/2014,Lasioglossum calceatum,1,Female,Knautia arvensis,Sown,Nectar,Dipsacaceae
Farm10,HLS,Three,29/06/2014,Lasioglossum calceatum,1,Female,Leontodon hispidus,Sown,Pollen,Asteraceae
Farm10,HLS,Three,29/06/2014,Lasioglossum malachurum,1,Female,Achillea millefolium,Sown,Pollen,Asteraceae
Farm10,HLS,Three,29/06/2014,Lasioglossum malachurum,1,Female,Centaurea nigra,Sown,Nectar,Asteraceae
Farm10,HLS,Three,29/06/2014,Lasioglossum malachurum,1,Female,Centaurea nigra,Sown,Pollen,Asteraceae
Farm10,HLS,Three,29/06/2014,Lasioglossum malachurum,1,Female,Centaurea nigra,Sown,Pollen,Asteraceae
Farm10,HLS,Three,29/06/2014,Lasioglossum malachurum,1,Female,Centaurea nigra,Sown,Pollen,Asteraceae
Farm10,HLS,Three,29/06/2014,Lasioglossum malachurum,9,Female,Heracleum sphondylium,Wild,Pollen,Apiaceae
Farm10,HLS,Three,29/06/2014,Lasioglossum malachurum,2,Worker,Heracleum sphondylium,Wild,Pollen,Apiaceae
Farm10,HLS,Three,29/06/2014,Lasioglossum malachurum,2,Female,Heracleum sphondylium,Wild,Pollen,Apiaceae
Farm10,HLS,Three,29/06/2014,Lasioglossum malachurum,1,Female,Heracleum sphondylium,Wild,Pollen,Apiaceae
Farm10,HLS,Three,29/06/2014,Lasioglossum malachurum,1,Female,Leucanthemum vulgare,Sown,Pollen,Asteraceae
Farm10,HLS,Three,29/06/2014,Lasioglossum morio,2,Female,Stachys sylvatica,Wild,Nectar,Lamiaceae
Farm10,HLS,Four,29/07/2015,Andrena alfkenella,1,Male,Daucus carota,Sown,Nectar,Apiaceae
Farm10,HLS,Four,29/07/2015,Andrena alfkenella,3,Female,Daucus carota,Sown,Nectar,Apiaceae
Farm10,HLS,Four,29/07/2015,Andrena alfkenella,2,Female,Daucus carota,Sown,Pollen,Apiaceae
Farm10,HLS,Four,29/07/2015,Andrena alfkenella,2,Female,Heracleum sphondylium,Wild,Nectar,Apiaceae
Farm10,HLS,Four,29/07/2015,Lasioglossum calceatum,1,Female,Heracleum sphondylium,Wild,Nectar,Apiaceae
Farm10,HLS,Four,29/07/2015,Lasioglossum leucozonium,1,Male,Daucus carota,Sown,Nectar,Apiaceae
Farm10,HLS,Four,29/07/2015,Lasioglossum malachurum,2,Male,Senecio jacobea,Wild,Nectar,Asteraceae
Farm10,HLS,Four,29/07/2015,Lasioglossum pauxillum,1,Worker,Heracleum sphondylium,Wild,Pollen,Apiaceae
Farm10,HLS,Four,29/07/2015,Melitta tricincta,1,Female,Odontites verna,Wild,Nectar,Orobanchaceae
Farm10,HLS,Four,29/07/2015,Melitta tricincta,1,Female,Odontites verna,Wild,Nectar,Orobanchaceae
Farm10,HLS,Four,29/07/2015,Sphecodes geoffrellus,1,Male,Heracleum sphondylium,Wild,Nectar,Apiaceae
Farm10,HLS,One,30/04/2015,Andrena carantonica,1,Male,Brassica rapa campestris,Crop,Nectar,Brassicaceae
Farm10,HLS,One,30/04/2015,Andrena carantonica,8,Female,Brassica rapa campestris,Crop,Pollen,Brassicaceae
Farm10,HLS,One,30/04/2015,Andrena cineraria,1,Female,Brassica rapa campestris,Crop,Pollen,Brassicaceae
Farm10,HLS,One,30/04/2015,Andrena fulva,1,Female,Brassica rapa campestris,Crop,Pollen,Brassicaceae
Farm10,HLS,One,30/04/2015,Andrena fulva,1,Female,Brassica rapa campestris,Crop,Nectar,Brassicaceae
Farm10,HLS,One,30/04/2015,Andrena haemorrhoa,2,Female,Brassica rapa campestris,Crop,Pollen,Brassicaceae
Farm10,HLS,One,30/04/2015,Andrena haemorrhoa,1,Male,Taraxacum agg.,Wild,Nectar,Asteraceae
Farm10,HLS,One,30/04/2015,Andrena nitida,1,Female,Brassica rapa campestris,Crop,Pollen,Brassicaceae
Farm10,HLS,One,30/04/2015,Andrena nitida,1,Male,Lamium album,Wild,Nectar,Lamiaceae
Farm10,HLS,One,30/04/2015,Andrena nitida,1,Male,Taraxacum agg.,Wild,Nectar,Asteraceae
Farm10,HLS,One,30/04/2015,Nomada lathburiana,1,Male,Taraxacum agg.,Wild,Nectar,Asteraceae
Farm10,HLS,One,30/04/2015,Nomada lathburiana,2,Male,Taraxacum agg.,Wild,Nectar,Asteraceae
Farm10,HLS,One,30/04/2015,Sphecodes ephippius,1,Female,Taraxacum agg.,Wild,Nectar,Asteraceae
Farm10,HLS,Three,1/7/2015,Andrena dorsata,1,Female,Heracleum sphondylium,Wild,Pollen,Apiaceae
Farm10,HLS,Three,1/7/2015,Andrena semilaevis,3,Female,Daucus carota,Sown,Pollen,Apiaceae
Farm10,HLS,Three,1/7/2015,Andrena semilaevis,2,Female,Heracleum sphondylium,Wild,Pollen,Apiaceae
Farm10,HLS,Three,1/7/2015,Colletes daviesanus,1,Male,Achillea millefolium,Sown,Nectar,Asteraceae
Farm10,HLS,Three,1/7/2015,Halictus rubicundus,1,Male,Centaurea scabiosa,Sown,Nectar,Asteraceae
Farm10,HLS,Three,1/7/2015,Halictus tumulorum,1,Female,Centaurea nigra,Sown,Pollen,Asteraceae
Farm10,HLS,Three,1/7/2015,Halictus tumulorum,2,Female,Heracleum sphondylium,Wild,Nectar,Apiaceae
Farm10,HLS,Three,1/7/2015,Lasioglossum albipes,1,Worker,Heracleum sphondylium,Wild,Nectar,Apiaceae
Farm10,HLS,Three,1/7/2015,Lasioglossum calceatum,1,Worker,Knautia arvensis,Sown,Pollen,Dipsacaceae
Farm10,HLS,Three,1/7/2015,Lasioglossum calceatum,1,Worker,Rubus fruticosus agg.,Wild,Pollen,Rosaceae
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,4,Worker,Achillea millefolium,Sown,Pollen,Asteraceae
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,1,Worker,Centaurea nigra,Sown,Nectar,Asteraceae
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,2,Female,Centaurea scabiosa,Sown,Pollen,Asteraceae
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,2,Worker,Heracleum sphondylium,Wild,Nectar,Apiaceae
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,1,Worker,Heracleum sphondylium,Wild,Nectar,Apiaceae
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,15,Worker,Leucanthemum vulgare,Sown,Pollen,Asteraceae
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,2,Worker,Reseda lutea,Wild,Nectar,Resedaceae
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,1,Worker,Rubus fruticosus agg.,Wild,Pollen,Rosaceae
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,1,Worker,Senecio vulgaris,Wild,Pollen,Asteraceae
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,25,Worker,Tripleurospermum inodorum,Wild,Pollen,Asteraceae
Farm10,HLS,Three,1/7/2015,Lasioglossum pauxillum,1,Worker,Leucanthemum vulgare,Sown,Pollen,Asteraceae
Farm10,HLS,Two,8/6/2015,Andrena chrysosceles,1,Female,Aegopodium podagrica,Wild,Nectar,Apiaceae
Farm10,HLS,Two,8/6/2015,Andrena chrysosceles,1,Female,Chaerophyllum temulum,Wild,Nectar,Apiaceae
Farm10,HLS,Two,8/6/2015,Andrena cineraria,4,Female,Chaerophyllum temulum,Wild,Pollen,Apiaceae
Farm10,HLS,Two,8/6/2015,Andrena flavipes,2,Female,Leucanthemum vulgare,Sown,Nectar,Asteraceae
Farm10,HLS,Two,8/6/2015,Andrena flavipes,3,Female,Leucanthemum vulgare,Sown,Pollen,Asteraceae
Farm10,HLS,Two,8/6/2015,Andrena flavipes,1,Female,Reseda lutea,Wild,Nectar,Resedaceae
Farm10,HLS,Two,8/6/2015,Andrena haemorrhoa,1,Female,Reseda lutea,Wild,Pollen,Resedaceae
Farm10,HLS,Two,8/6/2015,Andrena nigroaenea,1,Female,Reseda lutea,Wild,Pollen,Resedaceae
Farm10,HLS,Two,8/6/2015,Andrena semilaevis,2,Female,Chaerophyllum temulum,Wild,Nectar,Apiaceae
Farm10,HLS,Two,8/6/2015,Andrena semilaevis,4,Female,Chaerophyllum temulum,Wild,Nectar,Apiaceae
Farm10,HLS,Two,8/6/2015,Andrena semilaevis,14,Female,Chaerophyllum temulum,Wild,Pollen,Apiaceae
Farm10,HLS,Two,8/6/2015,Halictus tumulorum,1,Female,Aegopodium podagrica,Wild,Nectar,Apiaceae
Farm10,HLS,Two,8/6/2015,Halictus tumulorum,3,Female,Leucanthemum vulgare,Sown,Pollen,Asteraceae
Farm10,HLS,Two,8/6/2015,Lasioglossum albipes,1,Female,Ranunculus acris,Sown,Pollen,Ranunculaceae
Farm10,HLS,Two,8/6/2015,Lasioglossum calceatum,1,Female,Leucanthemum vulgare,Sown,Pollen,Asteraceae
Farm10,HLS,Two,8/6/2015,Lasioglossum calceatum,1,Female,Veronica chamaedrys,Wild,Nectar,Veroniaceae
Farm10,HLS,Two,8/6/2015,Lasioglossum leucopus,2,Female,Chaerophyllum temulum,Wild,Nectar,Apiaceae
Farm10,HLS,Two,8/6/2015,Lasioglossum leucopus,1,Female,Chaerophyllum temulum,Wild,Pollen,Apiaceae
Farm10,HLS,Two,8/6/2015,Lasioglossum pauxillum,1,Female,Aegopodium podagrica,Wild,Pollen,Apiaceae
Farm10,HLS,Two,8/6/2015,Lasioglossum pauxillum,1,Female,Leucanthemum vulgare,Sown,Pollen,Asteraceae
Farm10,HLS,Two,8/6/2015,Lasioglossum xanthopus,4,Female,Leucanthemum vulgare,Sown,Pollen,Asteraceae
Farm10,HLS,Two,8/6/2015,Nomada goodeniana,1,Female,Leucanthemum vulgare,Sown,Nectar,Asteraceae
Farm11,ELS,Three,9/7/2013,Colletes daviesanus,1,Male,Leucanthemum vulgare,Sown,Nectar,Asteraceae
Farm11,ELS,Three,9/7/2013,Hylaeus signatus,1,Male,Reseda lutea,Wild,Nectar,Resedaceae
Farm11,ELS,Two,31/05/2013,Lasioglossum leucozonium,1,Female,Crepis vesicaria,Wild,Nectar,Asteraceae
Farm11,ELS,Four,7/8/2014,Lasioglossum leucopus,4,Male,Bryonia dioica,Wild,Nectar,Cucurbitaceae
Farm11,ELS,Four,7/8/2014,Lasioglossum morio,1,Male,Pulicaria dysenterica,Wild,Nectar,Asteraceae
Farm11,ELS,Four,7/8/2014,Melitta tricincta,5,Male,Odontites verna,Wild,Nectar,Orobanchaceae
Farm11,ELS,Three,6/7/2014,Andrena bicolor,1,Female,Heracleum sphondylium,Wild,Nectar,Apiaceae
Farm11,ELS,Three,6/7/2014,Andrena cineraria,1,Female,Heracleum sphondylium,Wild,Nectar,Apiaceae
Farm11,ELS,Three,6/7/2014,Andrena minutula,1,Male,Heracleum sphondylium,Wild,Nectar,Apiaceae
Farm11,ELS,Three,6/7/2014,Andrena semilaevis,1,Female,Heracleum sphondylium,Wild,Nectar,Apiaceae
Farm11,ELS,Three,6/7/2014,Colletes daviesanus,1,Female,Tripleurospermum inodorum,Wild,Pollen,Asteraceae
Farm11,ELS,Three,6/7/2014,Lasioglossum calceatum,1,Female,Centaurea nigra,Sown,Nectar,Asteraceae
Farm11,ELS,Three,6/7/2014,Lasioglossum calceatum,1,Female,Convolvulus arvensis,Wild,Nectar,Convolvulaceae
Farm11,ELS,Three,6/7/2014,Lasioglossum calceatum,1,Female,Lapsana communis,Wild,Pollen,Asteraceae
